users,text
6d2be0e9183417dcaf1ecda22bf05e3b,"RT @Username Nous sommes désormais 400025 à soutenir l'\#AvenirEnCommun, le programme de la \#FranceInsoumise porté par @Username ! \#jlm2017
"
6d2be0e9183417dcaf1ecda22bf05e3b,"RT @Username .@Username ""Pour moi le problème dans ce pays, c'est plus l'enseignement commercial que l'enseignement confessionnel"" @Username \#BourdinDirect 
"
6d2be0e9183417dcaf1ecda22bf05e3b,"RT @Username Monsieur \#Macron a maintenant 3 candidats par circonscription : un \#EnMarche, un \#PS et un \#LR. \#GouvernementPhilippe
"
6d2be0e9183417dcaf1ecda22bf05e3b,"@Username @Username @Username @Username @Username @Username J'arrete pas d'entendre parler du PS ? Mais ca n'a pas ete racheté par \#macron2017 il y a un an ???
"
6d2be0e9183417dcaf1ecda22bf05e3b,"RT @Username Voilà que la Société générale m'attaque en diffamation pour avoir dénoncé son rôle dans les Panama Papers. \#Legislatives2017
"
6d2be0e9183417dcaf1ecda22bf05e3b,"RT @Username On peut faire des hydroliennes pour faire de l'énergie.D'ailleurs avant on en faisait partout et on appelait ça des moulins.\#E1Bus \#JLMBrest
"
6d2be0e9183417dcaf1ecda22bf05e3b,"RT @Username @Username 
"
6d2be0e9183417dcaf1ecda22bf05e3b,"RT @Username . @Username a été le seul homme politique à parler de la vie des gens, ds sa vérité crue Les 11\&18 redressons le pays \#LEmissionPolitique
"
6d2be0e9183417dcaf1ecda22bf05e3b,"RT @Username @Username @Username @Username L'extrême droite n'est pas seulement là où on le croit. Fillon et Le Pen ne s'intéressent qu'à leurs bien-être et biens personnels.
"
6d2be0e9183417dcaf1ecda22bf05e3b,"RT @Username J'ai 10 ans de moins que lui. Je n'ai pas autant d'énergie que lui. Respect @Username \#JLMRennes 
"
6d2be0e9183417dcaf1ecda22bf05e3b,"RT @Username Ils n'arriveront plus jamais à nous faire le coup du discours du Bourget. \#JLMChâteauroux 
"
6d2be0e9183417dcaf1ecda22bf05e3b,"RT @Username \#JLMFrance2 Plus je vous écoute plus j'ai envie de vous croire et de voter pour vous M @Username φ
"
6d2be0e9183417dcaf1ecda22bf05e3b,"RT @Username Invité des @Username @Username à l'instar de @Username ne parle plus de présidentielle, mais des législatives... V'là c clair ! \#GGRMC
"
6d2be0e9183417dcaf1ecda22bf05e3b,"RT @Username Même à Londres, la France est Insoumise ! @Username @Username \#LaFranceInsoumise @Username ✊ 
"
6d2be0e9183417dcaf1ecda22bf05e3b,"RT @Username Rendez-vous ce dimanche à 12h10 sur \#France3 pour @Username Participez avec le hashtag \#DIMPOL. 
"
6d2be0e9183417dcaf1ecda22bf05e3b,"RT @Username @Username @Username Dans cette élection, monsieur \#Macron a 3 candidats par circonscription : celui d'\#EnMarche, celui du \#PS et celui de chez \#LR. 
"
6d2be0e9183417dcaf1ecda22bf05e3b,"@Username @Username @Username @Username @Username @Username @Username il n y a pas que Mélenchon qui s attaque à la presse la différence c que lui le dit tout haut,et d autres jouent les hypocrites comme dhab
"
6d2be0e9183417dcaf1ecda22bf05e3b,"RT @Username Bonsoir la @Username , comptez vous demander la suspension de l'investiture de Claude Goasguen auprès des @Username ? 
"
6d2be0e9183417dcaf1ecda22bf05e3b,"RT @Username Après l'émotion et la poésie, la lucidité du réel : @Username rend hommage aux kurdes de Kobane et parle de paix \#JLMMarseille Tout y est
"
6d2be0e9183417dcaf1ecda22bf05e3b,"RT @Username @Username Monsieur Ferrand est une excellente vitrine du macronnisme réel. \#ConfJLM
"
6d2be0e9183417dcaf1ecda22bf05e3b,"RT @Username Merci pour les messages d'encouragement ! On en reçoit des milliers, ça fait plaisir, mais du coup ça prend du temps pour vous répondre ! 
"
6d2be0e9183417dcaf1ecda22bf05e3b,"RT @Username Marie Nadal à la rencontre des Tarn-et-Garonnais \#circo8201 \#Legislatives \#montauban @Username  via @Username
"
6d2be0e9183417dcaf1ecda22bf05e3b,"RT @Username 10% des travailleurs détachés en France sont des Français. C'est une honte. \#TF1 \#DemainPresident
"
6d2be0e9183417dcaf1ecda22bf05e3b,"RT @Username Tous les antifascistes d'opérette qui m'ont jeté des pierres ont oublié que je suis allé combattre madame Le Pen à Hénin-Beaumont. \#RMC
"
6d2be0e9183417dcaf1ecda22bf05e3b,"RT @Username À gauche le bain de foule du président À droite la routine pour Melenchon @Username @Username @Username 
"
6d2be0e9183417dcaf1ecda22bf05e3b,"RT @Username ""Il est très rare que des questions gênantes soient posées en France à l’opposition vénézuélienne."" @Username 
"
6d2be0e9183417dcaf1ecda22bf05e3b,"@Username @Username @Username Non. Vous avez peur ? Le monstre fabriqué par le système lui échappe ?
"
6d2be0e9183417dcaf1ecda22bf05e3b,"RT @Username Candidate de la France insoumise 2e circ. du 39 \#JURA Soutenue par @Username \#Legislatives2017 \#Franceinsoumise \#circo3902 \#JulieLançon 
"
6d2be0e9183417dcaf1ecda22bf05e3b,"RT @Username Hollande et Merkel portent l'entière responsabilité de donner à \#Trump le pouvoir solitaire de frapper qui il veut quand il veut.
"
6d2be0e9183417dcaf1ecda22bf05e3b,"RT @Username Nous sommes 35 000 personnes rassemblées pour l'Avenir en Commun partout en France ! Bravo et merci ! \#LaForceDuPeuple 
"
6d2be0e9183417dcaf1ecda22bf05e3b,"RT @Username ""9-15 juillet : la loi Travail sera abrogée et un nouveau projet de loi sera proposé"" @Username \#FeuilleDeRouteFi
"
6d2be0e9183417dcaf1ecda22bf05e3b,"RT @Username Si \#LEPEN commence à emprunter les thématiques de la \#FranceInsoumise, c'est qu'elle pressent avoir @Username au second tour \#lesinformes
"
6d2be0e9183417dcaf1ecda22bf05e3b,"RT @Username Jacqueline Fraysse députée FDG, marraine de @Username ! Merci 😘 \#JLMParrainage \#JLM2017 
"
6d2be0e9183417dcaf1ecda22bf05e3b,"RT @Username Soutien à @Username @Username dans leur nouvelle bataille comme ils étaient venus soutenir @Username le 21/4 
"
6d2be0e9183417dcaf1ecda22bf05e3b,"RT @Username Au hasard de la campagne, ns avons trouvé ce ""phi"" sur le sol. Geste anonyme mais superbe. @Username @Username \#Circo5919 
"
6d2be0e9183417dcaf1ecda22bf05e3b,"@Username Encore une fois un discours extrêmement convaincant et qui appelle au bon sens,tt se tient !les indécis, lisez le prog @Username
"
6d2be0e9183417dcaf1ecda22bf05e3b,"RT @Username Félicitation @Username vous avez réussi à gagner un débat sans participer. \#rendeznousmélenchon \#2017ledébat \#debatpresidentiel
"
6d2be0e9183417dcaf1ecda22bf05e3b,"RT @Username Vote de \#Valls pour Macron: une preuve de plus que pour rompre avec la politique de ce quinquennat, il n'y a qu'une solution: @Username
"
6d2be0e9183417dcaf1ecda22bf05e3b,"RT @Username Hollande propose de relancer la construction européenne avec l'Europe de la défense, mais c'est l'Europe de la guerre qu'il prépare. \#PlanB
"
6d2be0e9183417dcaf1ecda22bf05e3b,"RT @Username Monsieur \#Macron a maintenant 3 candidats par circonscription : un \#EnMarche, un \#PS et un \#LR. \#GouvernementPhilippe
"
6d2be0e9183417dcaf1ecda22bf05e3b,"RT @Username Face à Le Pen, monsieur \#Macron a pu se faufiler pendant deux heures sans dire un seul mot sur le changement climatique ! \#LegislativesFi
"
6d2be0e9183417dcaf1ecda22bf05e3b,"@Username Ça mérite des explications dans le 2D degré : qui et à quelles conditions ? Automatique = sans accord du remplaçant ?
"
6d2be0e9183417dcaf1ecda22bf05e3b,"RT @Username On se retrouve demain après-midi Place des Fêtes avec @Username et @Username !@Username \#Circo7516 
"
6d2be0e9183417dcaf1ecda22bf05e3b,"RT @Username ""Emmanuel Macron est coresponsable de la montée du Front national."" @Username Merci @Username !  
"
6d2be0e9183417dcaf1ecda22bf05e3b,"RT @Username @Username : « Je ne voterai pas Front national, tout le monde le sait. » 
"
6d2be0e9183417dcaf1ecda22bf05e3b,"RT @Username Bonsoir @Username je vous propose un rendez-vous mardi, soit à 14h soit à 16h, ou lundi en 8 dans la matinée. 
"
6d2be0e9183417dcaf1ecda22bf05e3b,"RT @Username @Username @Username @Username @Username @Username @Username @Username @Username @Username @Username @Username @Username @Username @Username @Username @Username @Username @Username @Username @Username @Username @Username @Username @Username @Username @Username Eh oui, moi petit retraité qui ne paye pas d'impôts, ma pension a baissé de 5% ! \#JusticeSociale et pourquoi ? Pour ça: financer le \#CICE... 
"
6d2be0e9183417dcaf1ecda22bf05e3b,"RT @Username Pour Montreuil et Bagnolet, @Username a un programme, l'Avenir en commun, le même que @Username 1/4 \#FranceInsoumise 
"
6d2be0e9183417dcaf1ecda22bf05e3b,"RT @Username Visite du Grand-Palais pour @Username \& salutations aux centaines de personnes qui attendent déjà 3h avant le meeting \#JLMLille \#JLM2017 
"
6d2be0e9183417dcaf1ecda22bf05e3b,"RT @Username De nombreuses et nombreux nouveaux volontaires de la \#FranceInsoumise pour rejoindre la campagne @Username à \#Lille \#JLM2017 
"
6d2be0e9183417dcaf1ecda22bf05e3b,"RT @Username Alors @Username ? Vous allez porter plainte contre le papa de \#RémiFraisse ? Alors le @Username ? On fait pas de communiqué ? 
"
6d2be0e9183417dcaf1ecda22bf05e3b,"RT @Username Vous avez bien fait d'éliminer @Username : vous nous avez évité: 
"
6d2be0e9183417dcaf1ecda22bf05e3b,"RT @Username Ce matin j'étais sur @Username Cool attitude pour répondre aux attaques infondées contre @Username !  \#JLM2017
"
6d2be0e9183417dcaf1ecda22bf05e3b,"@Username \#Presidentielle2017 Voici l'un des raisons de ne pas voter @Username mais @Username , @Username et les autres raisons ⬇️ 
"
6d2be0e9183417dcaf1ecda22bf05e3b,"RT @Username @Username Monsieur \#Macron va augmenter la CSG. Je demande pourquoi il est impossible d'en parler dans cette élection. \#ConfJLM
"
6d2be0e9183417dcaf1ecda22bf05e3b,"C'est en s'unissant que \#avenirencommun sera à l'assemblée ! Alors @Username @Username @Username @Username aidez les insoumis 
"
6d2be0e9183417dcaf1ecda22bf05e3b,"RT @Username Le principe de la Sécurité sociale, c'est: chacun donne selon ses moyens et reçoit selon ses besoins.\#LegislativesFi 
"
6d2be0e9183417dcaf1ecda22bf05e3b,"\#LoiTravail \#Onsensouviendra \#ElKhomeri \#Hamon \#Paris18 @Username @Username
"
6d2be0e9183417dcaf1ecda22bf05e3b,"@Username @Username @Username @Username @Username @Username donc arrêtons de nous suivre mutuellement. svp (je me suis désabonné)
"
6d2be0e9183417dcaf1ecda22bf05e3b,"RT @Username .@Username Nous demandons aux gens de s'impliquer, c'est fondamental pour réussir la 6e République de demain. \#JLM2017 @Username
"
6d2be0e9183417dcaf1ecda22bf05e3b,"RT @Username  Maître Bayrou, sorti de son placard... 🤣@Username @Username @Username @Username @Username 
"
6d2be0e9183417dcaf1ecda22bf05e3b,"RT @Username 👉Sur les 101 départements de \#France, 99 ont voté pour @Username ...99 👉Et \#MarineLePen n'atteint même PAS les 34%. \#LaMesseEstDite 
"
6d2be0e9183417dcaf1ecda22bf05e3b,"\#Asselineau2017@Username \#nousnesommespasdupes \#UPR \#Morale \#MarineLePen  via @Username
"
6d2be0e9183417dcaf1ecda22bf05e3b,"RT @Username Quel est le programme @Username ? - Rétablir une société de liberté  via
"
6d2be0e9183417dcaf1ecda22bf05e3b,"RT @Username ""Nous allons rouvrir la France sur l'Universel et renouer avec la francophonie"" \#Asselineau2017 \#programmeFA
"
6d2be0e9183417dcaf1ecda22bf05e3b,"Il faut vraiment revenir sur la grammaire à l'école car comment qu'elle parle @Username ça en devient gênant. \#2017LeDebat
"
6d2be0e9183417dcaf1ecda22bf05e3b,"RT @Username Philippe Berta sur la sécurité ""Aucune incivilité ne sera plus acceptée"" \#Legislatives2017 \#Gard \#Nimes \#EnMarche \#LREM @Username
"
6d2be0e9183417dcaf1ecda22bf05e3b,"RT @Username Le président @Username se rendra à l'ambassade de Grande-Bretagne et signera le livre de condoléances, mardi 22 mai 2017 à 14h30 
"
6d2be0e9183417dcaf1ecda22bf05e3b,"Fin \#EspritPublic \#Franceculture \#soutien \#LePhilippeMeyer viré sans motif réel @Username @Username c'est fini la culture ? 
"
6d2be0e9183417dcaf1ecda22bf05e3b,"RT @Username Les 11 et 18 juin, je vote \#LaRépubliqueEnMarche ! 
"
6d2be0e9183417dcaf1ecda22bf05e3b,"RT @Username ""L'euro a été un boulet pour notre économie, il est en partie responsable du taux de chômage spectaculaire de la France."" \#DemainPrésident
"
